1  78  1
3  3  3
4  4  3
5  9  3
5  10  5
5  18  1
5  20  1
5  21  20
5  43  1
5  49  2
5  57  5
5  63  1
5  67  1
5  68  4
5  73  2
5  89  4
5  96  1
5  99  1
5  100  3
5  101  1
5  115  2
5  120  4
5  133  5
5  137  12
6  89  1
9  120  1
9  129  1
10  69  1
12  92  177
14  59  1
14  72  182
19  101  1
21  3  1
21  4  1
21  9  5
21  18  1
21  35  1
21  43  1
21  50  9
21  57  7
21  94  1
21  101  1
21  120  1
21  123  1
21  132  7
21  133  2
21  144  2
22  72  180
22  92  1
28  64  1
29  11  1
29  26  1
29  76  1
30  2  2
30  45  1
30  90  1
31  10  4
31  21  15
31  46  1
31  68  4
31  99  1
31  133  4
32  133  1
33  8  1
33  77  2
34  34  1
35  89  1
37  54  1
37  75  1
37  134  1
37  138  2
37  141  2
40  80  1
41  38  2
43  53  1
46  67  1
46  119  1
46  129  1
49  119  1
49  129  1
55  11  1
56  120  1
57  101  1
58  14  1
58  79  1
59  92  182
60  8  1
60  60  4
60  62  1
60  78  1
60  91  1
60  107  3
61  67  1
62  15  1
62  30  1
62  78  1
62  79  1
62  98  1
65  143  1
68  120  1
68  143  4
71  120  1
71  143  4
72  72  180
72  92  1
73  5  1
73  10  5
73  20  1
73  32  1
73  43  1
73  56  1
73  60  1
73  68  2
73  69  1
73  73  1
73  76  2
73  79  2
73  84  3
73  96  1
73  99  2
73  101  22
73  106  1
73  126  1
73  133  9
73  142  2
74  34  2
75  138  1
75  141  1
76  11  2
76  33  1
76  44  2
76  55  1
76  73  1
76  76  5
76  103  2
77  78  1
79  60  1
79  90  1
81  34  2
87  65  1
88  10  2
88  43  1
88  83  1
88  88  1
88  101  6
88  133  1
89  9  2
89  85  1
89  132  1
91  15  1
91  30  1
91  79  1
91  134  1
92  92  181
93  119  1
93  129  1
96  6  1
96  45  1
97  38  6
97  54  1
97  79  1
99  21  1
104  101  1
104  124  1
106  48  1
106  65  3
107  78  1
109  38  1
110  52  1
111  34  2
115  115  4
116  30  1
116  79  1
119  56  1
122  34  2
124  23  2
124  67  2
124  76  1
124  79  1
124  124  2
125  72  1
125  79  1
126  7  1
126  17  1
126  23  2
126  39  1
126  76  1
126  79  1
126  126  3
128  14  1
128  79  1
130  10  4
130  18  1
130  21  15
130  46  2
130  68  4
130  73  1
130  96  1
130  99  1
130  115  2
130  132  1
130  133  4
131  54  1
132  85  1
133  10  1
133  18  1
133  46  1
133  63  1
133  69  1
133  96  1
133  106  1
135  134  1
135  138  1
135  141  1
137  68  1
139  10  4
139  18  1
139  21  15
139  46  2
139  68  4
139  73  1
139  96  1
139  99  1
139  115  2
139  132  1
139  133  4
140  101  1
143  38  1
144  18  1
144  94  1
